提案ID,テスト区分,根拠カテゴリ,根拠ID,差分概要,テスト軸,入力値,期待確認内容,備考
P-001,情報,-,-,SF固定値確認,省庁区分,（自動選択）,省庁区分はテストケースの列に含めない,SF固定値→1専用JSON。UIに省庁選択画面は表示されない
P-002,差分,代価表,代価表:6,代価表「諸雑費」備考変更,任意,任意,代価表「諸雑費」の備考が「つき固め機械等の損料・燃料」になっていること（目視確認）,備考変更: 「つき固め機械等の賃料・燃料」→「つき固め機械等の損料・燃料」
P-003,差分,計算表,計算表変数:5,計算表変数「S4」変更,任意,任意,「S4」を含む計算結果が正しいこと,計算式: AT*1.2→AT*1.3
P-004,差分,計算表,計算表変数:13,計算表変数「D」変更,任意,任意,「D」を含む計算結果が正しいこと,固定値: 38.0→40.0
P-005,差分,計算表,計算表変数:22,計算表変数「FG~01」変更,任意,任意,「FG~01」を含む計算結果が正しいこと,固定値→計算式: 21.0→
P-006,差分,質問,質問No:3,質問「施工歩掛(バックホウ施工)」表示名変更,施工歩掛(バックホウ施工),任意,質問の表示名が「施工歩掛(バックホウ施工)」になっていること,表示名変更: 「施工歩掛(バックホウ施工)」→「施工歩掛(バックホウ施工)」
P-007,差分,質問,質問No:38,質問「(超低・後方バックホウ)排ガス機械の選択」表示名変更,(超低・後方バックホウ)排ガス機械の選択,任意,質問の表示名が「(超低・後方バックホウ)排ガス機械の選択」になっていること,表示名変更: 「A=10」→「(超低・後方バックホウ)排ガス機械の選択」
P-008,差分,質問,質問No:39,質問「A=10」表示名変更,A=10,任意,質問の表示名が「A=10」になっていること,表示名変更: 「A=0」→「A=10」
P-009,差分,質問,質問No:40,質問「A=0」表示名変更,A=0,任意,質問の表示名が「A=0」になっていること,表示名変更: 「AT=当り数量」→「A=0」
P-010,差分,質問,質問No:41,質問「AT=当り数量」表示名変更,AT=当り数量,任意,質問の表示名が「AT=当り数量」になっていること,表示名変更: 「1=代価表1枚目4行目」→「AT=当り数量」
P-011,差分,質問,質問No:42,質問「1=代価表1枚目4行目」表示名変更,1=代価表1枚目4行目,任意,質問の表示名が「1=代価表1枚目4行目」になっていること,表示名変更: 「0=代価表1枚目4行目」→「1=代価表1枚目4行目」
P-012,差分,質問,質問No:43,質問「0=代価表1枚目4行目」表示名変更,0=代価表1枚目4行目,任意,質問の表示名が「0=代価表1枚目4行目」になっていること,表示名変更: 「NFG1=1」→「0=代価表1枚目4行目」
P-013,差分,質問,質問No:44,質問「NFG1=1」表示名変更,NFG1=1,任意,質問の表示名が「NFG1=1」になっていること,表示名変更: 「NFG1=2」→「NFG1=1」
P-014,差分,質問,質問No:45,質問「NFG1=2」表示名変更,NFG1=2,任意,質問の表示名が「NFG1=2」になっていること,表示名変更: 「終点」→「NFG1=2」
