テストID,テスト区分,代価表の当り数量(固定),労務単価修正係数,歩掛修正係数,X1:目地の種類,資材計上区分,X2:ダウエルバー計上方法選択,X3:チェアー計上方法選択,チェアー材料費の単位選択,期待:N1,期待:N2,期待:N3,期待:N4,期待:N5,期待:N6,期待:N7,期待:N8,期待:N9,期待:N10,期待:N11,選択肢の適切さ確認,規格名計上
TC-001,差分,1000当り代価表,任意,任意,1:膨張目地20×40㎜,材料費+施工費,単価選択,単価選択,「m」単位のチェアー材材料費,3.6,2600,2600,2000,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,1,・「X1:目地の種類」ごとに必要な資材の動作になっているか,-
TC-002,差分,1000当り代価表,任意,任意,1:膨張目地20×40㎜,施工費のみ,-,-,-,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,1,・「X1:目地の種類」ごとに必要な資材の動作になっているか,-
TC-003,差分,1000当り代価表,任意,任意,2:打込目地10×40㎜,材料費+施工費,単価選択,単価選択,「m」単位のチェアー材材料費,計算結果が正しいか,2600,計算結果が正しいか,2000,1000,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,1,・「X1:目地の種類」ごとに必要な資材の動作になっているか,-
TC-004,差分,1000当り代価表,任意,任意,2:打込目地10×40㎜,施工費のみ,-,-,-,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,1,・「X1:目地の種類」ごとに必要な資材の動作になっているか,-
TC-005,差分,1000当り代価表,任意,任意,3:切削目地10×70㎜,材料費+施工費,単価選択,単価選択,「m」単位のチェアー材材料費,計算結果が正しいか,2600,計算結果が正しいか,2000,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,1,・「X1:目地の種類」ごとに必要な資材の動作になっているか,-
TC-006,差分,1000当り代価表,任意,任意,3:切削目地10×70㎜,施工費のみ,-,-,-,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,1,・「X1:目地の種類」ごとに必要な資材の動作になっているか,-
TC-007,差分,1000当り代価表,任意,任意,4:縦目地10×40㎜,材料費+施工費,-,-,-,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,1000,計算結果が正しいか,計算結果が正しいか,1,・「X1:目地の種類」ごとに必要な資材の動作になっているか,-
TC-008,差分,1000当り代価表,任意,任意,4:縦目地10×40㎜,施工費のみ,-,-,-,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,1,・「X1:目地の種類」ごとに必要な資材の動作になっているか,-
TC-009,差分,1000当り代価表,任意,任意,5:縦突合せ目地10×40㎜,材料費+施工費,-,単価選択,「m」単位のチェアー材材料費,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,1000,計算結果が正しいか,1100,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,1,・「X1:目地の種類」ごとに必要な資材の動作になっているか,-
TC-010,差分,1000当り代価表,任意,任意,5:縦突合せ目地10×40㎜,施工費のみ,-,-,-,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,1,・「X1:目地の種類」ごとに必要な資材の動作になっているか,-
TC-011,回帰,1000当り代価表,任意,任意,5:縦突合せ目地10×40㎜,材料費+施工費,-,単価選択,「m」単位のチェアー材材料費,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,1000,計算結果が正しいか,1100,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,1,"・「X1:目地の種類」ごとに必要な資材の動作になっているか
・資材計上区分 を切り替えた後、最初の選択肢に戻したとき、計算結果が初期状態と一致すること(状態戻し回帰)",-
