テストID,テスト区分,変更概要,入力条件,期待確認内容,確認方法
TC-001,差分,代価表「TankaCD:32-1-102-32-24782」行数変更 2行→1行,（任意の入力値で確認）,代価表「TankaCD:32-1-102-32-24782」の行数が1行になっていること,目視確認（行数・備考）
TC-002,差分,代価表「TankaCD:32-1-102-33-64118」行数変更 2行→1行,（任意の入力値で確認）,代価表「TankaCD:32-1-102-33-64118」の行数が1行になっていること,目視確認（行数・備考）
TC-003,差分,代価表「TankaCD:32-1-102-33-64118」備考変更,（任意の入力値で確認）,代価表「TankaCD:32-1-102-33-64118」の備考が「標準ブロック材料費控除」になっていること（目視確認）,目視確認（行数・備考）
TC-004,差分,代価表「TankaCD:32-1-102-33-64118」行数変更 2行→1行,（任意の入力値で確認）,代価表「TankaCD:32-1-102-33-64118」の行数が1行になっていること,目視確認（行数・備考）
TC-005,差分,代価表「TankaCD:32-1-102-33-63090」行数変更 2行→1行,（任意の入力値で確認）,代価表「TankaCD:32-1-102-33-63090」の行数が1行になっていること,目視確認（行数・備考）
TC-006,差分,代価表「TankaCD:32-1-102-32-24794」行数変更 2行→1行,（任意の入力値で確認）,代価表「TankaCD:32-1-102-32-24794」の行数が1行になっていること,目視確認（行数・備考）
TC-007,差分,代価表「TankaCD:32-1-102-33-64118」行数変更 2行→1行,（任意の入力値で確認）,代価表「TankaCD:32-1-102-33-64118」の行数が1行になっていること,目視確認（行数・備考）
TC-008,差分,代価表「TankaCD:32-1-102-33-64118」備考変更,（任意の入力値で確認）,代価表「TankaCD:32-1-102-33-64118」の備考が「標準ブロック材料ロス分」になっていること（目視確認）,目視確認（行数・備考）
TC-009,差分,計算式変更（68件）: 計算表変数「D6R」変更、計算表変数「CD:252」追加、計算表変数「CD:253」追加、計算表変数「CD:254」追加、計算表変数「CD:255」追加、計算表変数「CD:256」追加、計算表変数「CD:257」追加、計算表変数「CD:258」追加、計算表変数「CD:259」追加、計算表変数「CD:260」追加、計算表変数「CD:261」追加、計算表変数「CD:262」追加、計算表変数「CD:263」追加、計算表変数「CD:264」追加、計算表変数「CD:265」追加、計算表変数「CD:266」追加、計算表変数「CD:267」追加、計算表変数「CD:268」追加、計算表変数「CD:269」追加、計算表変数「 <設置>」追加、計算表変数「 <撤去>」追加、計算表変数「CD:272」追加、計算表変数「CD:273」追加、計算表変数「CD:274」追加、計算表変数「CD:275」追加、計算表変数「CD:276」追加、計算表変数「CD:5」削除、計算表変数「CD:9」削除、計算表変数「CD:14」削除、計算表変数「CD:18」削除、計算表変数「CD:27」削除、計算表変数「CD:31」削除、計算表変数「CD:35」削除、計算表変数「CD:40」削除、計算表変数「CD:44」削除、計算表変数「CD:53」削除、計算表変数「CD:57」削除、計算表変数「CD:61」削除、計算表変数「CD:66」削除、計算表変数「CD:70」削除、計算表変数「CD:79」削除、計算表変数「Z1b」削除、計算表変数「CD:87」削除、計算表変数「CD:105」削除、計算表変数「CD:114」削除、計算表変数「<モルタル練工に送る変数>」削除、計算表変数「MIF_5」削除、計算表変数「RK」削除、計算表変数「CD:118」削除、計算表変数「 <設置>」削除、計算表変数「 <撤去>」削除、計算表変数「CD:130」削除、計算表変数「zfg」削除、計算表変数「SFK2」削除、計算表変数「SFK2a」削除、計算表変数「MIF」削除、計算表変数「CD:168」削除、計算表変数「<下位代価に送る変数>」削除、計算表変数「Cem」削除、計算表変数「CD:171」削除、計算表変数「sfk2」削除、計算表変数「MIF_N」削除、計算表変数「CD:202」削除、計算表変数「CD:233」削除、計算表変数「CD:237」削除、計算表変数「LE_N1」削除、計算表変数「D4R2」削除、計算表変数「D6R2」削除,（任意の入力値で確認）,"・「D6R」を含む計算結果が正しいこと
・「CD:252」を使う計算結果が正しいこと
・「CD:253」を使う計算結果が正しいこと
・「CD:254」を使う計算結果が正しいこと
・「CD:255」を使う計算結果が正しいこと
・「CD:256」を使う計算結果が正しいこと
・「CD:257」を使う計算結果が正しいこと
・「CD:258」を使う計算結果が正しいこと
・「CD:259」を使う計算結果が正しいこと
・「CD:260」を使う計算結果が正しいこと
・「CD:261」を使う計算結果が正しいこと
・「CD:262」を使う計算結果が正しいこと
・「CD:263」を使う計算結果が正しいこと
・「CD:264」を使う計算結果が正しいこと
・「CD:265」を使う計算結果が正しいこと
・「CD:266」を使う計算結果が正しいこと
・「CD:267」を使う計算結果が正しいこと
・「CD:268」を使う計算結果が正しいこと
・「CD:269」を使う計算結果が正しいこと
・「 <設置>」を使う計算結果が正しいこと
（他48件）
変更内容: 計算式: if(zfg==1,Z1a,if(zfg==2,Z1b,0))→Z1a / 新規変数:  / 新規変数:  / 新規変数:  / 新規変数:  / 新規変数:  / 新規変数:  / 新規変数:  / 新規変数:  / 新規変数:  / 新規変数:  / 新規変数:  / 新規変数:  / 新規変数:  / 新規変数:  / 新規変数:  / 新規変数:  / 新規変数:  / 新規変数:  / 新規変数:  / 新規変数:  / 新規変数:  / 新規変数:  / 新規変数:  / 新規変数:  / 新規変数:  / 削除変数:  / 削除変数:  / 削除変数:  / 削除変数:  / 削除変数:  / 削除変数:  / 削除変数:  / 削除変数:  / 削除変数:  / 削除変数:  / 削除変数:  / 削除変数:  / 削除変数:  / 削除変数:  / 削除変数:  / 削除変数: AT * (t + t2*10 + t3*1000) / 1000*K / 削除変数:  / 削除変数:  / 削除変数:  / 削除変数:  / 削除変数: 1.0 / 削除変数: 2.0 / 削除変数:  / 削除変数:  / 削除変数:  / 削除変数:  / 削除変数:  / 削除変数:  / 削除変数: if(sfk2 > 0, sfk2, SFK2) / 削除変数:  / 削除変数:  / 削除変数:  / 削除変数:  / 削除変数:  / 削除変数:  / 削除変数: 1.0 / 削除変数:  / 削除変数:  / 削除変数:  / 削除変数: 2.0 / 削除変数: Sb * AT * if(wb == 1, 1, 0) / 削除変数: Z1a",計算値確認
TC-010,差分,選択肢変更（4件）: K=0,K=0: 0（追加された選択肢を確認）,【追加】選択肢「」追加（質問:「K=0」）、選択肢「」追加（質問:「K=0」）、選択肢「」追加（質問:「K=0」）、選択肢「0」追加（質問:「K=0」）,目視確認（選択肢表示）
TC-011,差分,選択肢変更（8件）: t2=0,t2=0: 0 / 0（追加された選択肢を確認）,【追加】選択肢「」追加（質問:「t2=0」）、選択肢「」追加（質問:「t2=0」）、選択肢「」追加（質問:「t2=0」）、選択肢「0」追加（質問:「t2=0」）、選択肢「」追加（質問:「t2=0」）、選択肢「」追加（質問:「t2=0」）、選択肢「」追加（質問:「t2=0」）、選択肢「0」追加（質問:「t2=0」）,目視確認（選択肢表示）
TC-012,差分,選択肢変更（16件）: K4W=1,K4W=1: 1 / 1 / 1 / 1（追加された選択肢を確認）,【追加】選択肢「」追加（質問:「K4W=1」）、選択肢「」追加（質問:「K4W=1」）、選択肢「」追加（質問:「K4W=1」）、選択肢「1」追加（質問:「K4W=1」）、選択肢「」追加（質問:「K4W=1」）、選択肢「」追加（質問:「K4W=1」）、選択肢「」追加（質問:「K4W=1」）、選択肢「1」追加（質問:「K4W=1」）、選択肢「」追加（質問:「K4W=1」）、選択肢「」追加（質問:「K4W=1」）、選択肢「」追加（質問:「K4W=1」）、選択肢「1」追加（質問:「K4W=1」）、選択肢「」追加（質問:「K4W=1」）、選択肢「」追加（質問:「K4W=1」）、選択肢「」追加（質問:「K4W=1」）、選択肢「1」追加（質問:「K4W=1」）,目視確認（選択肢表示）
TC-013,差分,選択肢変更（4件）: t=0,t=0: 0（追加された選択肢を確認）,【追加】選択肢「」追加（質問:「t=0」）、選択肢「」追加（質問:「t=0」）、選択肢「」追加（質問:「t=0」）、選択肢「0」追加（質問:「t=0」）,目視確認（選択肢表示）
