軸ID,軸名,種別,SitsumonNo,列ラベル,変更理由,備考,強制行ID
AX-001,輸送の有無,vary,1,輸送の有無,新規工種:全選択肢網羅,SitsumonKind=19,
AX-002,作業区分,vary,2,作業区分,新規工種:全選択肢網羅,SitsumonKind=19,
AX-003,L~CK=60,auto,16,L~CK=60(固定),自動確定 (UI非可視: 変数確定/内部分岐),SitsumonKind=19,
AX-004,(クレーン)賃料長期割引の適用,vary,3,(クレーン)賃料長期割引の適用,新規工種:全選択肢網羅,SitsumonKind=19,
AX-005,ラフテレーンクレーン(長期割引あり)規格区分,auto,4,ラフテレーンクレーン(長期割引あり)規格区分(固定),自動確定 (UI非可視: 変数確定/内部分岐),SitsumonKind=19,
AX-006,資料補正選択方法,auto,6,資料補正選択方法(固定),自動確定 (UI非可視: 変数確定/内部分岐),SitsumonKind=19,
AX-007,クレーン賃料補正,vary,7,クレーン賃料補正,レベル変数=開(値3: 再選択可能/必ず実行),SitsumonKind=19,
AX-008,L~N=0,auto,21,L~N=0(固定),自動確定 (UI非可視: 変数確定/内部分岐),SitsumonKind=19,
AX-009,L~α=1,auto,22,L~α=1(固定),自動確定 (UI非可視: 変数確定/内部分岐),SitsumonKind=19,
AX-010,ラフテレーンクレーン(長期割引なし)規格区分,auto,5,ラフテレーンクレーン(長期割引なし)規格区分(固定),自動確定 (UI非可視: 変数確定/内部分岐),SitsumonKind=19,
AX-011,クレーン賃料補正,vary,8,クレーン賃料補正,新規工種:全選択肢網羅,SitsumonKind=19,
AX-012,賃料補正値入力区分,auto,10,賃料補正値入力区分(固定),自動確定 (UI非可視: 変数確定/内部分岐),SitsumonKind=19,
AX-013,補正値入力動作区分,auto,11,補正値入力動作区分(固定),自動確定 (UI非可視: 変数確定/内部分岐),SitsumonKind=19,
AX-014,クレーン賃料補正率,fix,13,クレーン賃料補正率,,SitsumonKind=17,
