テストID,テスト区分,変更概要,入力条件,期待確認内容,確認方法
TC-001,差分,代価表「TankaCD:32-2-103-33-3663」追加,（任意の入力値で確認）,代価表「TankaCD:32-2-103-33-3663」が1行で表示されること（目視確認）,目視確認（行数・備考）
TC-002,差分,代価表「TankaCD:32-2-101-32-14」追加,（任意の入力値で確認）,代価表「TankaCD:32-2-101-32-14」が1行で表示されること（目視確認）,目視確認（行数・備考）
TC-003,差分,代価表「諸雑費」追加,（任意の入力値で確認）,代価表「諸雑費」が1行で表示されること（目視確認）,目視確認（行数・備考）
TC-004,差分,計算式変更（23件）: 計算表変数「S1」変更、計算表変数「S1A」変更、計算表変数「S2」変更、計算表変数「S2A」変更、計算表変数「S3」変更、計算表変数「S3T」変更、計算表変数「S4」変更、計算表変数「S5」変更、計算表変数「S6」変更、計算表変数「BHK」変更、計算表変数「CD:19」追加、計算表変数「<内部変数>」追加、計算表変数「DK」追加、計算表変数「SF」追加、計算表変数「SFK1」追加、計算表変数「SFK2」追加、計算表変数「D1R」追加、計算表変数「D2R」追加、計算表変数「D3R」追加、計算表変数「D4R」追加、計算表変数「D5R」追加、計算表変数「D6R」追加、計算表変数「ASVar」追加,（任意の入力値で確認）,"・「S1」を含む計算結果が正しいこと
・「S1A」を含む計算結果が正しいこと
・「S2」を含む計算結果が正しいこと
・「S2A」を含む計算結果が正しいこと
・「S3」を含む計算結果が正しいこと
・「S3T」を含む計算結果が正しいこと
・「S4」を含む計算結果が正しいこと
・「S5」を含む計算結果が正しいこと
・「S6」を含む計算結果が正しいこと
・「BHK」を含む計算結果が正しいこと
・「CD:19」を使う計算結果が正しいこと
・「<内部変数>」を使う計算結果が正しいこと
・「DK」を使う計算結果が正しいこと
・「SF」を使う計算結果が正しいこと
・「SFK1」を使う計算結果が正しいこと
・「SFK2」を使う計算結果が正しいこと
・「D1R」を使う計算結果が正しいこと
・「D2R」を使う計算結果が正しいこと
・「D3R」を使う計算結果が正しいこと
・「D4R」を使う計算結果が正しいこと
（他3件）
変更内容: 計算式: S3A*S3T*BHK→S1A*3*UT / 計算式→固定値: →1.0 / 計算式: →S2A*UT / 計算式→固定値: S4A*S4T*BHK→0.3 / 計算式: →S3A*S3T*BHK / 計算式: S5A*S5T*BHK→ / 計算式: →S4A*S4T*BHK / 計算式: →S5A*S5T*BHK / 固定値: 1.0→3.0 / 固定値→計算式: 1.0→ / 新規変数:  / 新規変数:  / 新規変数:  / 新規変数: 1.0 / 新規変数:  / 新規変数:  / 新規変数: S1 / 新規変数: S2 / 新規変数: S3 / 新規変数: S4 / 新規変数: S5 / 新規変数: S6 / 新規変数: 1.0",計算値確認
TC-005,差分,質問設定変更（7件）: 質問設定「S3T」変更、質問設定「S4T」変更、質問設定「BHK」変更、質問設定「S4A」変更、質問設定「S5A」変更、質問設定「S5T」変更、質問設定「UT」追加,（任意の入力値で確認）,"・「S3T」の設定変更が計算結果に正しく反映されること
・「S4T」の設定変更が計算結果に正しく反映されること
・「BHK」の設定変更が計算結果に正しく反映されること
・「S4A」の設定変更が計算結果に正しく反映されること
・「S5A」の設定変更が計算結果に正しく反映されること
・「S5T」の設定変更が計算結果に正しく反映されること
・「UT」の設定変更が計算結果に正しく反映されること",計算値確認
TC-006,差分,選択肢変更（4件）: BHK=1,BHK=1: 1（追加された選択肢を確認）,【追加】選択肢「」追加（質問:「BHK=1」）、選択肢「」追加（質問:「BHK=1」）、選択肢「」追加（質問:「BHK=1」）、選択肢「1」追加（質問:「BHK=1」）,目視確認（選択肢表示）
TC-007,差分,選択肢変更（4件）: S4A=0.91,S4A=0.91: 0.91（追加された選択肢を確認）,【追加】選択肢「」追加（質問:「S4A=0.91」）、選択肢「」追加（質問:「S4A=0.91」）、選択肢「」追加（質問:「S4A=0.91」）、選択肢「0.91」追加（質問:「S4A=0.91」）,目視確認（選択肢表示）
TC-008,差分,選択肢変更（4件）: S5A=5.3,S5A=5.3: 5.3（追加された選択肢を確認）,【追加】選択肢「」追加（質問:「S5A=5.3」）、選択肢「」追加（質問:「S5A=5.3」）、選択肢「」追加（質問:「S5A=5.3」）、選択肢「5.3」追加（質問:「S5A=5.3」）,目視確認（選択肢表示）
TC-009,差分,選択肢変更（4件）: S5T=0,S5T=0: 0（追加された選択肢を確認）,【追加】選択肢「」追加（質問:「S5T=0」）、選択肢「」追加（質問:「S5T=0」）、選択肢「」追加（質問:「S5T=0」）、選択肢「0」追加（質問:「S5T=0」）,目視確認（選択肢表示）
TC-010,差分,選択肢変更（4件）: 資料区分,資料区分: （表示された選択肢から回答）,【削除】選択肢「」削除（質問:「資料区分」）、選択肢「」削除（質問:「資料区分」）、選択肢「」削除（質問:「資料区分」）、選択肢「1」削除（質問:「資料区分」）,目視確認（選択肢表示）
TC-011,差分,選択肢変更（4件）: クーリングタワー延運転時間(台数分合計),クーリングタワー延運転時間(台数分合計): （表示された選択肢から回答）,【削除】選択肢「」削除（質問:「クーリングタワー延運転時間(台数分合計)」）、選択肢「」削除（質問:「クーリングタワー延運転時間(台数分合計)」）、選択肢「」削除（質問:「クーリングタワー延運転時間(台数分合計)」）、選択肢「0」削除（質問:「クーリングタワー延運転時間(台数分合計)」）,目視確認（選択肢表示）
TC-012,差分,質問追加（1件）,追加された項目を含む操作を実施して確認,"以下が新規追加されていること:
・質問「運転日数」新規追加",目視確認（質問・選択肢表示）
TC-013,差分,質問変更（11件）,変更された項目を含む操作を実施して確認,"以下の変更が正しく反映されていること:
・質問「終点」表示名変更: 質問の表示名が「終点」になっていること
・質問「BHK=1」表示名変更: 質問の表示名が「BHK=1」になっていること
・質問「空気圧縮機規格選択」表示名変更: 質問の表示名が「空気圧縮機規格選択」になっていること
・質問「資料区分」表示名変更: 質問の表示名が「資料区分」になっていること
・質問「S4A=0.91」表示名変更: 質問の表示名が「S4A=0.91」になっていること
・質問「空気圧縮機延運転時間(台数分合計)」表示名変更: 質問の表示名が「空気圧縮機延運転時間(台数分合計)」になっていること
・質問「S4A=0」表示名変更: 質問の表示名が「S4A=0」になっていること
・質問「S5A=5.3」表示名変更: 質問の表示名が「S5A=5.3」になっていること
・質問「クーリングタワー延運転時間(台数分合計)」表示名変更: 質問の表示名が「クーリングタワー延運転時間(台数分合計)」になっていること
・質問「S5A=0」表示名変更: 質問の表示名が「S5A=0」になっていること
・質問「S5T=0」表示名変更: 質問の表示名が「S5T=0」になっていること",目視確認（質問・選択肢表示）
TC-014,差分,質問削除（3件）,削除された項目の操作経路を確認,"以下が削除されていること:
・質問「S5A=0」削除
・質問「S5T=0」削除
・質問「S5=代価表1枚目数量3行目」削除",目視確認（質問・選択肢表示）
TC-015,差分,フロー追加（1件）,追加された項目を含む操作を実施して確認,"以下が新規追加されていること:
・フロー「運転日数」追加（BoxNo:8）",フロー遷移確認
TC-016,差分,フロー変更（14件）,変更された項目を含む操作を実施して確認,"以下の変更が正しく反映されていること:
・フロー「省庁区分」変更（BoxNo:1）: 「省庁区分」の遷移先が正しいこと
・フロー「終点」変更（BoxNo:25）: 「終点」の遷移先が正しいこと
・フロー「BHK=1」変更（BoxNo:28）: 「BHK=1」の遷移先が正しいこと
・フロー「歩掛補正係数」変更（BoxNo:29）: 「歩掛補正係数」の遷移先が正しいこと
・フロー「空気圧縮機規格選択」変更（BoxNo:31）: 「空気圧縮機規格選択」の遷移先が正しいこと
・フロー「資料区分」変更（BoxNo:32）: 「資料区分」の遷移先が正しいこと
・フロー「空気圧縮機規格選択」変更（BoxNo:33）: 「空気圧縮機規格選択」の遷移先が正しいこと
・フロー「S4A=0.91」変更（BoxNo:34）: 「S4A=0.91」の遷移先が正しいこと
・フロー「空気圧縮機延運転時間(台数分合計)」変更（BoxNo:35）: 「空気圧縮機延運転時間(台数分合計)」の遷移先が正しいこと
・フロー「S4A=0」変更（BoxNo:38）: 「S4A=0」の遷移先が正しいこと
・フロー「S5A=5.3」変更（BoxNo:39）: 「S5A=5.3」の遷移先が正しいこと
・フロー「クーリングタワー延運転時間(台数分合計)」変更（BoxNo:40）: 「クーリングタワー延運転時間(台数分合計)」の遷移先が正しいこと
・フロー「S5A=0」変更（BoxNo:41）: 「S5A=0」の遷移先が正しいこと
・フロー「S5T=0」変更（BoxNo:42）: 「S5T=0」の遷移先が正しいこと",フロー遷移確認
TC-017,差分,フロー削除（3件）,削除された項目の操作経路を確認,"以下が削除されていること:
・フロー「S3=代価表1枚目数量1行目」削除（BoxNo:23）
・フロー「S4=代価表1枚目数量2行目」削除（BoxNo:24）
・フロー「S5=代価表1枚目数量3行目」削除（BoxNo:45）",フロー遷移確認
TC-018,回帰,既存パスへの影響なし確認,BHK=1: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-019,回帰,既存パスへの影響なし確認,S4A=0: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-020,回帰,既存パスへの影響なし確認,S4A=0.91: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-021,回帰,既存パスへの影響なし確認,S5A=0: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-022,回帰,既存パスへの影響なし確認,S5A=5.3: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-023,回帰,既存パスへの影響なし確認,S5T=0: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-024,回帰,既存パスへの影響なし確認,クーリングタワー延運転時間(台数分合計): （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-025,回帰,既存パスへの影響なし確認,歩掛補正係数: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-026,回帰,既存パスへの影響なし確認,省庁区分: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-027,回帰,既存パスへの影響なし確認,空気圧縮機延運転時間(台数分合計): （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-028,回帰,既存パスへの影響なし確認,空気圧縮機規格選択: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-029,回帰,既存パスへの影響なし確認,終点: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-030,回帰,既存パスへの影響なし確認,資料区分: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-031,回帰,既存パスへの影響なし確認,運転日数: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
