テストID,テスト区分,日当り作業量補正(道路維持等作業効率低下),作業区分,側溝規格,基礎砕石の有無,(バックホウ 山積0.28m3)賃料長期割引の適用,省庁分岐,側溝材料初期値区分(固定),側溝材料の単位選択,1個当り側溝長さ,内径又は内空幅(mm),(バックホウ 山積0.5m3)賃料長期割引の適用,側溝単価(別途計上)(固定),側溝単価計上方法(固定),管(函)渠型側溝材料区分,選択肢の適切さ確認,規格名計上
TC-001,新規歩掛,1,据付,円形側溝 縦断用 内径 250mm T-25,有り,長期割引あり,標準,ｍ単位の単価DBが初期値,「個」単位の材料単価,任意,-,-,-,-,-,"日当り作業量補正(道路維持等作業効率低下)(全選択肢網羅)
・「1」と表示されているが、外部設計と正しいか
作業区分(全選択肢網羅)
・「据付」と表示されているが、外部設計と正しいか
側溝規格(全選択肢網羅)
・「円形側溝 縦断用 内径 250mm T-25」と表示されているが、外部設計と正しいか
基礎砕石の有無(全選択肢網羅)
・「有り」と表示されているが、外部設計と正しいか
(バックホウ 山積0.28m3)賃料長期割引の適用(全選択肢網羅)
・「長期割引あり」と表示されているが、外部設計と正しいか
省庁分岐(全選択肢網羅)
・「標準」と表示されているが、外部設計と正しいか
側溝材料の単位選択(全選択肢網羅)
・「「個」単位の材料単価」と表示されているが、外部設計と正しいか","・作業区分 の規格名計上が意図通りの場所に正しく計上されているか
・基礎砕石の有無 の規格名計上が意図通りの場所に正しく計上されているか"
TC-002,新規歩掛,1,据付,円形側溝 縦断用 内径 250mm T-25,有り,長期割引あり,標準,ｍ単位の単価DBが初期値,「m」単位の材料単価,-,-,-,-,-,-,"日当り作業量補正(道路維持等作業効率低下)(全選択肢網羅)
・「1」と表示されているが、外部設計と正しいか
作業区分(全選択肢網羅)
・「据付」と表示されているが、外部設計と正しいか
側溝規格(全選択肢網羅)
・「円形側溝 縦断用 内径 250mm T-25」と表示されているが、外部設計と正しいか
基礎砕石の有無(全選択肢網羅)
・「有り」と表示されているが、外部設計と正しいか
(バックホウ 山積0.28m3)賃料長期割引の適用(全選択肢網羅)
・「長期割引あり」と表示されているが、外部設計と正しいか
省庁分岐(全選択肢網羅)
・「標準」と表示されているが、外部設計と正しいか
側溝材料の単位選択(全選択肢網羅)
・「「m」単位の材料単価」と表示されているが、外部設計と正しいか","・作業区分 の規格名計上が意図通りの場所に正しく計上されているか
・基礎砕石の有無 の規格名計上が意図通りの場所に正しく計上されているか"
TC-003,新規歩掛,1,据付,円形側溝 縦断用 内径 250mm T-25,有り,長期割引あり,東京都建設局,ｍ単位の単価DBが初期値,「個」単位の材料単価,任意,-,-,-,単価DBより選択,材料計上する,"日当り作業量補正(道路維持等作業効率低下)(全選択肢網羅)
・「1」と表示されているが、外部設計と正しいか
作業区分(全選択肢網羅)
・「据付」と表示されているが、外部設計と正しいか
側溝規格(全選択肢網羅)
・「円形側溝 縦断用 内径 250mm T-25」と表示されているが、外部設計と正しいか
基礎砕石の有無(全選択肢網羅)
・「有り」と表示されているが、外部設計と正しいか
(バックホウ 山積0.28m3)賃料長期割引の適用(全選択肢網羅)
・「長期割引あり」と表示されているが、外部設計と正しいか
省庁分岐(全選択肢網羅)
・「東京都建設局」と表示されているが、外部設計と正しいか
側溝材料の単位選択(全選択肢網羅)
・「「個」単位の材料単価」と表示されているが、外部設計と正しいか
管(函)渠型側溝材料区分(全選択肢網羅)
・「材料計上する」と表示されているが、外部設計と正しいか","・作業区分 の規格名計上が意図通りの場所に正しく計上されているか
・基礎砕石の有無 の規格名計上が意図通りの場所に正しく計上されているか"
TC-004,新規歩掛,1,据付,円形側溝 縦断用 内径 250mm T-25,有り,長期割引あり,東京都建設局,ｍ単位の単価DBが初期値,「m」単位の材料単価,-,-,-,-,単価DBより選択,材料計上する,"日当り作業量補正(道路維持等作業効率低下)(全選択肢網羅)
・「1」と表示されているが、外部設計と正しいか
作業区分(全選択肢網羅)
・「据付」と表示されているが、外部設計と正しいか
側溝規格(全選択肢網羅)
・「円形側溝 縦断用 内径 250mm T-25」と表示されているが、外部設計と正しいか
基礎砕石の有無(全選択肢網羅)
・「有り」と表示されているが、外部設計と正しいか
(バックホウ 山積0.28m3)賃料長期割引の適用(全選択肢網羅)
・「長期割引あり」と表示されているが、外部設計と正しいか
省庁分岐(全選択肢網羅)
・「東京都建設局」と表示されているが、外部設計と正しいか
側溝材料の単位選択(全選択肢網羅)
・「「m」単位の材料単価」と表示されているが、外部設計と正しいか
管(函)渠型側溝材料区分(全選択肢網羅)
・「材料計上する」と表示されているが、外部設計と正しいか","・作業区分 の規格名計上が意図通りの場所に正しく計上されているか
・基礎砕石の有無 の規格名計上が意図通りの場所に正しく計上されているか"
TC-005,新規歩掛,1,据付,円形側溝 縦断用 内径 350mm T-25,有り,長期割引あり,標準,ｍ単位の単価DBが初期値,「個」単位の材料単価,任意,-,-,-,-,-,"日当り作業量補正(道路維持等作業効率低下)(全選択肢網羅)
・「1」と表示されているが、外部設計と正しいか
作業区分(全選択肢網羅)
・「据付」と表示されているが、外部設計と正しいか
側溝規格(全選択肢網羅)
・「円形側溝 縦断用 内径 350mm T-25」と表示されているが、外部設計と正しいか
基礎砕石の有無(全選択肢網羅)
・「有り」と表示されているが、外部設計と正しいか
(バックホウ 山積0.28m3)賃料長期割引の適用(全選択肢網羅)
・「長期割引あり」と表示されているが、外部設計と正しいか
省庁分岐(全選択肢網羅)
・「標準」と表示されているが、外部設計と正しいか
側溝材料の単位選択(全選択肢網羅)
・「「個」単位の材料単価」と表示されているが、外部設計と正しいか","・作業区分 の規格名計上が意図通りの場所に正しく計上されているか
・基礎砕石の有無 の規格名計上が意図通りの場所に正しく計上されているか"
TC-006,新規歩掛,1,据付,円形側溝 縦断用 内径 350mm T-25,有り,長期割引あり,標準,ｍ単位の単価DBが初期値,「m」単位の材料単価,-,-,-,-,-,-,"日当り作業量補正(道路維持等作業効率低下)(全選択肢網羅)
・「1」と表示されているが、外部設計と正しいか
作業区分(全選択肢網羅)
・「据付」と表示されているが、外部設計と正しいか
側溝規格(全選択肢網羅)
・「円形側溝 縦断用 内径 350mm T-25」と表示されているが、外部設計と正しいか
基礎砕石の有無(全選択肢網羅)
・「有り」と表示されているが、外部設計と正しいか
(バックホウ 山積0.28m3)賃料長期割引の適用(全選択肢網羅)
・「長期割引あり」と表示されているが、外部設計と正しいか
省庁分岐(全選択肢網羅)
・「標準」と表示されているが、外部設計と正しいか
側溝材料の単位選択(全選択肢網羅)
・「「m」単位の材料単価」と表示されているが、外部設計と正しいか","・作業区分 の規格名計上が意図通りの場所に正しく計上されているか
・基礎砕石の有無 の規格名計上が意図通りの場所に正しく計上されているか"
TC-007,新規歩掛,1,据付,円形側溝 縦断用 内径 350mm T-25,有り,長期割引あり,東京都建設局,ｍ単位の単価DBが初期値,「個」単位の材料単価,任意,-,-,-,単価DBより選択,材料計上する,"日当り作業量補正(道路維持等作業効率低下)(全選択肢網羅)
・「1」と表示されているが、外部設計と正しいか
作業区分(全選択肢網羅)
・「据付」と表示されているが、外部設計と正しいか
側溝規格(全選択肢網羅)
・「円形側溝 縦断用 内径 350mm T-25」と表示されているが、外部設計と正しいか
基礎砕石の有無(全選択肢網羅)
・「有り」と表示されているが、外部設計と正しいか
(バックホウ 山積0.28m3)賃料長期割引の適用(全選択肢網羅)
・「長期割引あり」と表示されているが、外部設計と正しいか
省庁分岐(全選択肢網羅)
・「東京都建設局」と表示されているが、外部設計と正しいか
側溝材料の単位選択(全選択肢網羅)
・「「個」単位の材料単価」と表示されているが、外部設計と正しいか
管(函)渠型側溝材料区分(全選択肢網羅)
・「材料計上する」と表示されているが、外部設計と正しいか","・作業区分 の規格名計上が意図通りの場所に正しく計上されているか
・基礎砕石の有無 の規格名計上が意図通りの場所に正しく計上されているか"
TC-008,新規歩掛,1,据付,円形側溝 縦断用 内径 350mm T-25,有り,長期割引あり,東京都建設局,ｍ単位の単価DBが初期値,「m」単位の材料単価,-,-,-,-,単価DBより選択,材料計上する,"日当り作業量補正(道路維持等作業効率低下)(全選択肢網羅)
・「1」と表示されているが、外部設計と正しいか
作業区分(全選択肢網羅)
・「据付」と表示されているが、外部設計と正しいか
側溝規格(全選択肢網羅)
・「円形側溝 縦断用 内径 350mm T-25」と表示されているが、外部設計と正しいか
基礎砕石の有無(全選択肢網羅)
・「有り」と表示されているが、外部設計と正しいか
(バックホウ 山積0.28m3)賃料長期割引の適用(全選択肢網羅)
・「長期割引あり」と表示されているが、外部設計と正しいか
省庁分岐(全選択肢網羅)
・「東京都建設局」と表示されているが、外部設計と正しいか
側溝材料の単位選択(全選択肢網羅)
・「「m」単位の材料単価」と表示されているが、外部設計と正しいか
管(函)渠型側溝材料区分(全選択肢網羅)
・「材料計上する」と表示されているが、外部設計と正しいか","・作業区分 の規格名計上が意図通りの場所に正しく計上されているか
・基礎砕石の有無 の規格名計上が意図通りの場所に正しく計上されているか"
TC-009,新規歩掛,1,据付,円形側溝 縦断用 内径 500mm T-25,有り,-,標準,ｍ単位の単価DBが初期値,「個」単位の材料単価,任意,-,長期割引あり,-,-,-,"日当り作業量補正(道路維持等作業効率低下)(全選択肢網羅)
・「1」と表示されているが、外部設計と正しいか
作業区分(全選択肢網羅)
・「据付」と表示されているが、外部設計と正しいか
側溝規格(全選択肢網羅)
・「円形側溝 縦断用 内径 500mm T-25」と表示されているが、外部設計と正しいか
基礎砕石の有無(全選択肢網羅)
・「有り」と表示されているが、外部設計と正しいか
省庁分岐(全選択肢網羅)
・「標準」と表示されているが、外部設計と正しいか
側溝材料の単位選択(全選択肢網羅)
・「「個」単位の材料単価」と表示されているが、外部設計と正しいか
(バックホウ 山積0.5m3)賃料長期割引の適用(全選択肢網羅)
・「長期割引あり」と表示されているが、外部設計と正しいか","・作業区分 の規格名計上が意図通りの場所に正しく計上されているか
・基礎砕石の有無 の規格名計上が意図通りの場所に正しく計上されているか"
TC-010,新規歩掛,1,据付,円形側溝 縦断用 内径 500mm T-25,有り,-,標準,ｍ単位の単価DBが初期値,「m」単位の材料単価,-,-,長期割引あり,-,-,-,"日当り作業量補正(道路維持等作業効率低下)(全選択肢網羅)
・「1」と表示されているが、外部設計と正しいか
作業区分(全選択肢網羅)
・「据付」と表示されているが、外部設計と正しいか
側溝規格(全選択肢網羅)
・「円形側溝 縦断用 内径 500mm T-25」と表示されているが、外部設計と正しいか
基礎砕石の有無(全選択肢網羅)
・「有り」と表示されているが、外部設計と正しいか
省庁分岐(全選択肢網羅)
・「標準」と表示されているが、外部設計と正しいか
側溝材料の単位選択(全選択肢網羅)
・「「m」単位の材料単価」と表示されているが、外部設計と正しいか
(バックホウ 山積0.5m3)賃料長期割引の適用(全選択肢網羅)
・「長期割引あり」と表示されているが、外部設計と正しいか","・作業区分 の規格名計上が意図通りの場所に正しく計上されているか
・基礎砕石の有無 の規格名計上が意図通りの場所に正しく計上されているか"
