テストID,テスト区分,桁区分,歩掛(プレテンションT桁、ポストテンション桁),資材計上区分,生コンクリート小型車割増額の計上(固定),生コンクリート冬期加熱費計上区分(標準=なし)(固定),打設方法,歩掛(プレテンション床版桁),養生工(ジェット、練炭、囲い内),圧送管組立・撤去の計上,期待:S6(コンクリート),選択肢の適切さ確認,規格名計上
TC-001,新規歩掛,プレテンションT桁、ポストテンション桁,有,材料費+施工費,計上しない,計上しない,配管打設,-,-,圧送管 30m以下 (圧送管損料・組立・撤去を計上しない),,"桁区分(全選択肢網羅)
・「プレテンションT桁、ポストテンション桁」と表示されているが、外部設計と正しいか
歩掛(プレテンションT桁、ポストテンション桁)(全選択肢網羅)
・「有」と表示されているが、外部設計と正しいか
資材計上区分(全選択肢網羅)
・「材料費+施工費」と表示されているが、外部設計と正しいか
打設方法(全選択肢網羅)
・「配管打設」と表示されているが、外部設計と正しいか
圧送管組立・撤去の計上(全選択肢網羅)
・「圧送管 30m以下 (圧送管損料・組立・撤去を計上しない)」と表示されているが、外部設計と正しいか",・打設方法 の規格名計上が意図通りの場所に正しく計上されているか
TC-002,新規歩掛,プレテンションT桁、ポストテンション桁,有,材料費+施工費,計上しない,計上しない,ブーム打設,-,-,-,,"桁区分(全選択肢網羅)
・「プレテンションT桁、ポストテンション桁」と表示されているが、外部設計と正しいか
歩掛(プレテンションT桁、ポストテンション桁)(全選択肢網羅)
・「有」と表示されているが、外部設計と正しいか
資材計上区分(全選択肢網羅)
・「材料費+施工費」と表示されているが、外部設計と正しいか
打設方法(全選択肢網羅)
・「ブーム打設」と表示されているが、外部設計と正しいか",・打設方法 の規格名計上が意図通りの場所に正しく計上されているか
TC-003,新規歩掛,プレテンションT桁、ポストテンション桁,有,施工費のみ,-,-,配管打設,-,-,圧送管 30m以下 (圧送管損料・組立・撤去を計上しない),○,"桁区分(全選択肢網羅)
・「プレテンションT桁、ポストテンション桁」と表示されているが、外部設計と正しいか
歩掛(プレテンションT桁、ポストテンション桁)(全選択肢網羅)
・「有」と表示されているが、外部設計と正しいか
資材計上区分(全選択肢網羅)
・「施工費のみ」と表示されているが、外部設計と正しいか
打設方法(全選択肢網羅)
・「配管打設」と表示されているが、外部設計と正しいか
圧送管組立・撤去の計上(全選択肢網羅)
・「圧送管 30m以下 (圧送管損料・組立・撤去を計上しない)」と表示されているが、外部設計と正しいか",・打設方法 の規格名計上が意図通りの場所に正しく計上されているか
TC-004,新規歩掛,プレテンションT桁、ポストテンション桁,有,施工費のみ,-,-,ブーム打設,-,-,-,○,"桁区分(全選択肢網羅)
・「プレテンションT桁、ポストテンション桁」と表示されているが、外部設計と正しいか
歩掛(プレテンションT桁、ポストテンション桁)(全選択肢網羅)
・「有」と表示されているが、外部設計と正しいか
資材計上区分(全選択肢網羅)
・「施工費のみ」と表示されているが、外部設計と正しいか
打設方法(全選択肢網羅)
・「ブーム打設」と表示されているが、外部設計と正しいか",・打設方法 の規格名計上が意図通りの場所に正しく計上されているか
TC-005,新規歩掛,プレテンションT桁、ポストテンション桁,無,材料費+施工費,計上しない,計上しない,配管打設,-,一般部 ジェットヒータ養生,圧送管 30m以下 (圧送管損料・組立・撤去を計上しない),,"桁区分(全選択肢網羅)
・「プレテンションT桁、ポストテンション桁」と表示されているが、外部設計と正しいか
歩掛(プレテンションT桁、ポストテンション桁)(全選択肢網羅)
・「無」と表示されているが、外部設計と正しいか
資材計上区分(全選択肢網羅)
・「材料費+施工費」と表示されているが、外部設計と正しいか
打設方法(全選択肢網羅)
・「配管打設」と表示されているが、外部設計と正しいか
養生工(ジェット、練炭、囲い内)(全選択肢網羅)
・「一般部 ジェットヒータ養生」と表示されているが、外部設計と正しいか
圧送管組立・撤去の計上(全選択肢網羅)
・「圧送管 30m以下 (圧送管損料・組立・撤去を計上しない)」と表示されているが、外部設計と正しいか",・打設方法 の規格名計上が意図通りの場所に正しく計上されているか
TC-006,新規歩掛,プレテンションT桁、ポストテンション桁,無,材料費+施工費,計上しない,計上しない,ブーム打設,-,一般部 ジェットヒータ養生,-,,"桁区分(全選択肢網羅)
・「プレテンションT桁、ポストテンション桁」と表示されているが、外部設計と正しいか
歩掛(プレテンションT桁、ポストテンション桁)(全選択肢網羅)
・「無」と表示されているが、外部設計と正しいか
資材計上区分(全選択肢網羅)
・「材料費+施工費」と表示されているが、外部設計と正しいか
打設方法(全選択肢網羅)
・「ブーム打設」と表示されているが、外部設計と正しいか
養生工(ジェット、練炭、囲い内)(全選択肢網羅)
・「一般部 ジェットヒータ養生」と表示されているが、外部設計と正しいか",・打設方法 の規格名計上が意図通りの場所に正しく計上されているか
TC-007,新規歩掛,プレテンションT桁、ポストテンション桁,無,施工費のみ,-,-,配管打設,-,一般部 ジェットヒータ養生,圧送管 30m以下 (圧送管損料・組立・撤去を計上しない),○,"桁区分(全選択肢網羅)
・「プレテンションT桁、ポストテンション桁」と表示されているが、外部設計と正しいか
歩掛(プレテンションT桁、ポストテンション桁)(全選択肢網羅)
・「無」と表示されているが、外部設計と正しいか
資材計上区分(全選択肢網羅)
・「施工費のみ」と表示されているが、外部設計と正しいか
打設方法(全選択肢網羅)
・「配管打設」と表示されているが、外部設計と正しいか
養生工(ジェット、練炭、囲い内)(全選択肢網羅)
・「一般部 ジェットヒータ養生」と表示されているが、外部設計と正しいか
圧送管組立・撤去の計上(全選択肢網羅)
・「圧送管 30m以下 (圧送管損料・組立・撤去を計上しない)」と表示されているが、外部設計と正しいか",・打設方法 の規格名計上が意図通りの場所に正しく計上されているか
TC-008,新規歩掛,プレテンションT桁、ポストテンション桁,無,施工費のみ,-,-,ブーム打設,-,一般部 ジェットヒータ養生,-,○,"桁区分(全選択肢網羅)
・「プレテンションT桁、ポストテンション桁」と表示されているが、外部設計と正しいか
歩掛(プレテンションT桁、ポストテンション桁)(全選択肢網羅)
・「無」と表示されているが、外部設計と正しいか
資材計上区分(全選択肢網羅)
・「施工費のみ」と表示されているが、外部設計と正しいか
打設方法(全選択肢網羅)
・「ブーム打設」と表示されているが、外部設計と正しいか
養生工(ジェット、練炭、囲い内)(全選択肢網羅)
・「一般部 ジェットヒータ養生」と表示されているが、外部設計と正しいか",・打設方法 の規格名計上が意図通りの場所に正しく計上されているか
TC-009,新規歩掛,プレテンション床版(スラブ)桁,-,材料費+施工費,計上しない,計上しない,配管打設,有,-,圧送管 30m以下 (圧送管損料・組立・撤去を計上しない),,"桁区分(全選択肢網羅)
・「プレテンション床版(スラブ)桁」と表示されているが、外部設計と正しいか
資材計上区分(全選択肢網羅)
・「材料費+施工費」と表示されているが、外部設計と正しいか
打設方法(全選択肢網羅)
・「配管打設」と表示されているが、外部設計と正しいか
歩掛(プレテンション床版桁)(全選択肢網羅)
・「有」と表示されているが、外部設計と正しいか
圧送管組立・撤去の計上(全選択肢網羅)
・「圧送管 30m以下 (圧送管損料・組立・撤去を計上しない)」と表示されているが、外部設計と正しいか",・打設方法 の規格名計上が意図通りの場所に正しく計上されているか
TC-010,新規歩掛,プレテンション床版(スラブ)桁,-,材料費+施工費,計上しない,計上しない,ブーム打設,有,-,-,,"桁区分(全選択肢網羅)
・「プレテンション床版(スラブ)桁」と表示されているが、外部設計と正しいか
資材計上区分(全選択肢網羅)
・「材料費+施工費」と表示されているが、外部設計と正しいか
打設方法(全選択肢網羅)
・「ブーム打設」と表示されているが、外部設計と正しいか
歩掛(プレテンション床版桁)(全選択肢網羅)
・「有」と表示されているが、外部設計と正しいか",・打設方法 の規格名計上が意図通りの場所に正しく計上されているか
