テストID,テスト区分,変更概要,入力条件,期待確認内容,確認方法
TC-001,差分,代価表「TankaCD:32-2-101-32-23」追加,（任意の入力値で確認）,代価表「TankaCD:32-2-101-32-23」が1行で表示されること（目視確認）,目視確認（行数・備考）
TC-002,差分,代価表「諸雑費」追加,（任意の入力値で確認）,代価表「諸雑費」が1行で表示されること（目視確認）,目視確認（行数・備考）
TC-003,差分,計算式変更（40件）: 計算表変数「S4」変更、計算表変数「S4b」変更、計算表変数「S1」変更、計算表変数「S1b」変更、計算表変数「S1'」変更、計算表変数「S2」変更、計算表変数「S3」変更、計算表変数「Z」変更、計算表変数「F1」変更、計算表変数「F2」変更、計算表変数「F3」変更、計算表変数「S5」変更、計算表変数「CD:14」変更、計算表変数「<内部変数>」変更、計算表変数「SK」変更、計算表変数「rsskH」変更、計算表変数「LEVsk」変更、計算表変数「ZK」変更、計算表変数「LEVzk」変更、計算表変数「SFG」変更、計算表変数「C」変更、計算表変数「c1」変更、計算表変数「QPD」変更、計算表変数「D」変更、計算表変数「FG」変更、計算表変数「FGS1」変更、計算表変数「LEV_D」変更、計算表変数「zk」変更、計算表変数「L_zk」追加、計算表変数「rs1」追加、計算表変数「O~SAN」追加、計算表変数「TA~SN」追加、計算表変数「O~Sys」追加、計算表変数「O~Dat」追加、計算表変数「SCk」追加、計算表変数「D1R」追加、計算表変数「D2R」追加、計算表変数「D3R」追加、計算表変数「D4R」追加、計算表変数「D5R」追加,（任意の入力値で確認）,"・「S4」を含む計算結果が正しいこと
・「S4b」を含む計算結果が正しいこと
・「S1」を含む計算結果が正しいこと
・「S1b」を含む計算結果が正しいこと
・「S1'」を含む計算結果が正しいこと
・「S2」を含む計算結果が正しいこと
・「S3」を含む計算結果が正しいこと
・「Z」を含む計算結果が正しいこと
・「F1」を含む計算結果が正しいこと
・「F2」を含む計算結果が正しいこと
・「F3」を含む計算結果が正しいこと
・「S5」を含む計算結果が正しいこと
・「CD:14」を含む計算結果が正しいこと
・「<内部変数>」を含む計算結果が正しいこと
・「SK」を含む計算結果が正しいこと
・「rsskH」を含む計算結果が正しいこと
・「LEVsk」を含む計算結果が正しいこと
・「ZK」を含む計算結果が正しいこと
・「LEVzk」を含む計算結果が正しいこと
・「SFG」を含む計算結果が正しいこと
（他20件）
変更内容: 計算式: (F1*c1+F2*c2+F3*c3)/100*Z*10→S4b/100*Z*10 / 計算式: (F1*c1+F2*c2+F3*c3)/100*Z→ / 計算式: Z*0.02*10→IF(SFG==1, S1b, (F1*c1+F2*c2+F3*c3))/100*Z*10 / 計算式: Z*10→ / 計算式: →(F1*c1+F2*c2+F3*c3)/100*Z / 固定値→計算式: 2.0→Z*0.02*10 / 固定値→計算式: 1.0→Z*10 / 固定値→計算式: 1.2→ / 計算式→固定値: →2.0 / 計算式→固定値: →1.0 / 計算式→固定値: →1.2 / 計算式: if(C == 3, 2,
if(C == 5, 2,
if(FGS1 > 0, FGS1,
if(O~Sys == 1, 1,
if(O~Dat == 1, 1, 0)))))→ / 計算式: if(C == 3, 1,
if(C == 5, 1,
if(LEV_D > 0, LEV_D,
if(FGS1 > 0, 1,
if(O~Sys == 1, 2,
if(O~Dat == 1, 2, 0))))))→ / 計算式: if(zk > 0, zk,
if(RFG > 0, RFG,
if(O~Sys == 1, 1,
if(O~Dat == 1, 1, 0))))→ / 計算式: if(L_zk > 0 , L_zk,
if(zk > 0, 1,
if(RFG > 0, 1,
if(O~Sys == 1, 2,
if(O~Dat == 1, 2, 0)))))→ / 固定値→計算式: 1.0→if(C == 3, 2,
if(C == 5, 2,
if(FGS1 > 0, FGS1,
if(O~Sys == 1, 1,
if(O~Dat == 1, 1, 0))))) / 計算式: →if(C == 3, 1,
if(C == 5, 1,
if(LEV_D > 0, LEV_D,
if(FGS1 > 0, 1,
if(O~Sys == 1, 2,
if(O~Dat == 1, 2, 0)))))) / 計算式: →if(zk > 0, zk,
if(RFG > 0, RFG,
if(O~Sys == 1, 1,
if(O~Dat == 1, 1, 0)))) / 計算式: →if(L_zk > 0 , L_zk,
if(zk > 0, 1,
if(RFG > 0, 1,
if(O~Sys == 1, 2,
if(O~Dat == 1, 2, 0))))) / 計算式→固定値: →1.0 / 計算式: D→ / 計算式: D'*S1'/4→ / 計算式: →D / 計算式: →D'*S1'/4 / 固定値→計算式: 1.0→ / 計算式: S1→ / 計算式: S2*SK→ / 計算式: S3*SK→ / 新規変数:  / 新規変数:  / 新規変数: 1.0 / 新規変数: 1.0 / 新規変数:  / 新規変数:  / 新規変数: 1.0 / 新規変数: S4 / 新規変数: S1 / 新規変数: S2*SK / 新規変数: S3*SK / 新規変数: S5",計算値確認
TC-004,差分,選択肢変更（5件）: 適用労務選択方法の切替,適用労務選択方法の切替: 適用労務選択方法の切替 / 普通作業員を適用 / 普通作業員、山林砂防工から選択（追加された選択肢を確認）,【追加】選択肢「」追加（質問:「適用労務選択方法の切替」）、選択肢「」追加（質問:「適用労務選択方法の切替」）、選択肢「適用労務選択方法の切替」追加（質問:「適用労務選択方法の切替」）、選択肢「普通作業員を適用」追加（質問:「適用労務選択方法の切替」）、選択肢「普通作業員、山林砂防工から選択」追加（質問:「適用労務選択方法の切替」）,目視確認（選択肢表示）
TC-005,差分,選択肢変更（2件）: 作業内容,作業内容: （表示された選択肢から回答）,【削除】選択肢「24」削除（質問:「作業内容」）、選択肢「24」削除（質問:「作業内容」）,目視確認（選択肢表示）
TC-006,差分,質問追加（6件）,追加された項目を含む操作を実施して確認,"以下が新規追加されていること:
・質問「労務費の適用」新規追加
・質問「フロー切替:適用労務切替(山林砂防工)」新規追加
・質問「終点」新規追加",目視確認（質問・選択肢表示）
TC-007,差分,質問変更（4件）,変更された項目を含む操作を実施して確認,"以下の変更が正しく反映されていること:
・質問「作業内容」表示名変更: 質問の表示名が「作業内容」になっていること
・質問「作業内容」表示名変更: 質問の表示名が「作業内容」になっていること
・質問「作業内容区分」表示名変更: 質問の表示名が「作業内容区分」になっていること
・質問「適用労務選択方法の切替」表示名変更: 質問の表示名が「適用労務選択方法の切替」になっていること",目視確認（質問・選択肢表示）
TC-008,差分,フロー追加（1件）,追加された項目を含む操作を実施して確認,"以下が新規追加されていること:
・フロー「フロー切替:適用労務切替(山林砂防工)」追加（BoxNo:11）",フロー遷移確認
TC-009,差分,フロー変更（7件）,変更された項目を含む操作を実施して確認,"以下の変更が正しく反映されていること:
・フロー「適用労務選択方法の切替」変更（BoxNo:1）: 「適用労務選択方法の切替」の遷移先が正しいこと
・フロー「労務費の適用」変更（BoxNo:2）: 「労務費の適用」の遷移先が正しいこと
・フロー「労務費の適用」変更（BoxNo:3）: 「労務費の適用」の遷移先が正しいこと
・フロー「終点」変更（BoxNo:4）: 「終点」の遷移先が正しいこと
・フロー「材料の選択(土のう)」変更（BoxNo:5）: 「材料の選択(土のう)」の遷移先が正しいこと
・フロー「終点」変更（BoxNo:13）: 「終点」の遷移先が正しいこと
・フロー「BoxNo:19」変更（BoxNo:19）: 「BoxNo:19」の遷移先が正しいこと",フロー遷移確認
TC-010,回帰,既存パスへの影響なし確認,BoxNo:19: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
