テストID,テスト区分,資材計上区分,砕石の種類,代価表当り単位の選択(標準=10m3),労務費の適用,期待:S1(一般世話役),期待:S2(特殊作業員),期待:S3(普通作業員),期待:S4(砕石),期待:S5(機械),選択肢の適切さ確認,規格名計上
TC-001,新規歩掛,材料費+施工費,再生クラッシャラン40~0,10m3当り代価表,普通作業員を適用,○,○,○,○,○,"資材計上区分(全選択肢網羅)
・「材料費+施工費」と表示されているが、外部設計と正しいか
砕石の種類(全選択肢網羅)
・「再生クラッシャラン40~0」と表示されているが、外部設計と正しいか
代価表当り単位の選択(標準=10m3)(全選択肢網羅)
・「10m3当り代価表」と表示されているが、外部設計と正しいか
労務費の適用(全選択肢網羅)
・「普通作業員を適用」と表示されているが、外部設計と正しいか",・砕石の種類 の規格名計上が意図通りの場所に正しく計上されているか
TC-002,新規歩掛,材料費+施工費,再生クラッシャラン40~0,「日当り施工量(m3)」当り代価表,普通作業員を適用,○,○,○,○,○,"資材計上区分(全選択肢網羅)
・「材料費+施工費」と表示されているが、外部設計と正しいか
砕石の種類(全選択肢網羅)
・「再生クラッシャラン40~0」と表示されているが、外部設計と正しいか
代価表当り単位の選択(標準=10m3)(全選択肢網羅)
・「「日当り施工量(m3)」当り代価表」と表示されているが、外部設計と正しいか
労務費の適用(全選択肢網羅)
・「普通作業員を適用」と表示されているが、外部設計と正しいか",・砕石の種類 の規格名計上が意図通りの場所に正しく計上されているか
TC-003,新規歩掛,材料費+施工費,再生クラッシャラン80~0,10m3当り代価表,普通作業員を適用,○,○,○,○,○,"資材計上区分(全選択肢網羅)
・「材料費+施工費」と表示されているが、外部設計と正しいか
砕石の種類(全選択肢網羅)
・「再生クラッシャラン80~0」と表示されているが、外部設計と正しいか
代価表当り単位の選択(標準=10m3)(全選択肢網羅)
・「10m3当り代価表」と表示されているが、外部設計と正しいか
労務費の適用(全選択肢網羅)
・「普通作業員を適用」と表示されているが、外部設計と正しいか",・砕石の種類 の規格名計上が意図通りの場所に正しく計上されているか
TC-004,新規歩掛,材料費+施工費,再生クラッシャラン80~0,「日当り施工量(m3)」当り代価表,普通作業員を適用,○,○,○,○,○,"資材計上区分(全選択肢網羅)
・「材料費+施工費」と表示されているが、外部設計と正しいか
砕石の種類(全選択肢網羅)
・「再生クラッシャラン80~0」と表示されているが、外部設計と正しいか
代価表当り単位の選択(標準=10m3)(全選択肢網羅)
・「「日当り施工量(m3)」当り代価表」と表示されているが、外部設計と正しいか
労務費の適用(全選択肢網羅)
・「普通作業員を適用」と表示されているが、外部設計と正しいか",・砕石の種類 の規格名計上が意図通りの場所に正しく計上されているか
TC-005,新規歩掛,材料費+施工費,クラッシャラン20~0,10m3当り代価表,普通作業員を適用,○,○,○,○,○,"資材計上区分(全選択肢網羅)
・「材料費+施工費」と表示されているが、外部設計と正しいか
砕石の種類(全選択肢網羅)
・「クラッシャラン20~0」と表示されているが、外部設計と正しいか
代価表当り単位の選択(標準=10m3)(全選択肢網羅)
・「10m3当り代価表」と表示されているが、外部設計と正しいか
労務費の適用(全選択肢網羅)
・「普通作業員を適用」と表示されているが、外部設計と正しいか",・砕石の種類 の規格名計上が意図通りの場所に正しく計上されているか
TC-006,新規歩掛,材料費+施工費,クラッシャラン20~0,「日当り施工量(m3)」当り代価表,普通作業員を適用,○,○,○,○,○,"資材計上区分(全選択肢網羅)
・「材料費+施工費」と表示されているが、外部設計と正しいか
砕石の種類(全選択肢網羅)
・「クラッシャラン20~0」と表示されているが、外部設計と正しいか
代価表当り単位の選択(標準=10m3)(全選択肢網羅)
・「「日当り施工量(m3)」当り代価表」と表示されているが、外部設計と正しいか
労務費の適用(全選択肢網羅)
・「普通作業員を適用」と表示されているが、外部設計と正しいか",・砕石の種類 の規格名計上が意図通りの場所に正しく計上されているか
TC-007,新規歩掛,材料費+施工費,クラッシャラン30~0,10m3当り代価表,普通作業員を適用,○,○,○,○,○,"資材計上区分(全選択肢網羅)
・「材料費+施工費」と表示されているが、外部設計と正しいか
砕石の種類(全選択肢網羅)
・「クラッシャラン30~0」と表示されているが、外部設計と正しいか
代価表当り単位の選択(標準=10m3)(全選択肢網羅)
・「10m3当り代価表」と表示されているが、外部設計と正しいか
労務費の適用(全選択肢網羅)
・「普通作業員を適用」と表示されているが、外部設計と正しいか",・砕石の種類 の規格名計上が意図通りの場所に正しく計上されているか
TC-008,新規歩掛,材料費+施工費,クラッシャラン30~0,「日当り施工量(m3)」当り代価表,普通作業員を適用,○,○,○,○,○,"資材計上区分(全選択肢網羅)
・「材料費+施工費」と表示されているが、外部設計と正しいか
砕石の種類(全選択肢網羅)
・「クラッシャラン30~0」と表示されているが、外部設計と正しいか
代価表当り単位の選択(標準=10m3)(全選択肢網羅)
・「「日当り施工量(m3)」当り代価表」と表示されているが、外部設計と正しいか
労務費の適用(全選択肢網羅)
・「普通作業員を適用」と表示されているが、外部設計と正しいか",・砕石の種類 の規格名計上が意図通りの場所に正しく計上されているか
TC-009,新規歩掛,材料費+施工費,クラッシャラン40~0,10m3当り代価表,普通作業員を適用,○,○,○,○,○,"資材計上区分(全選択肢網羅)
・「材料費+施工費」と表示されているが、外部設計と正しいか
砕石の種類(全選択肢網羅)
・「クラッシャラン40~0」と表示されているが、外部設計と正しいか
代価表当り単位の選択(標準=10m3)(全選択肢網羅)
・「10m3当り代価表」と表示されているが、外部設計と正しいか
労務費の適用(全選択肢網羅)
・「普通作業員を適用」と表示されているが、外部設計と正しいか",・砕石の種類 の規格名計上が意図通りの場所に正しく計上されているか
TC-010,新規歩掛,材料費+施工費,クラッシャラン40~0,「日当り施工量(m3)」当り代価表,普通作業員を適用,○,○,○,○,○,"資材計上区分(全選択肢網羅)
・「材料費+施工費」と表示されているが、外部設計と正しいか
砕石の種類(全選択肢網羅)
・「クラッシャラン40~0」と表示されているが、外部設計と正しいか
代価表当り単位の選択(標準=10m3)(全選択肢網羅)
・「「日当り施工量(m3)」当り代価表」と表示されているが、外部設計と正しいか
労務費の適用(全選択肢網羅)
・「普通作業員を適用」と表示されているが、外部設計と正しいか",・砕石の種類 の規格名計上が意図通りの場所に正しく計上されているか
TC-011,新規歩掛,材料費+施工費,クラッシャラン80~0,10m3当り代価表,普通作業員を適用,○,○,○,○,○,"資材計上区分(全選択肢網羅)
・「材料費+施工費」と表示されているが、外部設計と正しいか
砕石の種類(全選択肢網羅)
・「クラッシャラン80~0」と表示されているが、外部設計と正しいか
代価表当り単位の選択(標準=10m3)(全選択肢網羅)
・「10m3当り代価表」と表示されているが、外部設計と正しいか
労務費の適用(全選択肢網羅)
・「普通作業員を適用」と表示されているが、外部設計と正しいか",・砕石の種類 の規格名計上が意図通りの場所に正しく計上されているか
TC-012,新規歩掛,材料費+施工費,クラッシャラン80~0,「日当り施工量(m3)」当り代価表,普通作業員を適用,○,○,○,○,○,"資材計上区分(全選択肢網羅)
・「材料費+施工費」と表示されているが、外部設計と正しいか
砕石の種類(全選択肢網羅)
・「クラッシャラン80~0」と表示されているが、外部設計と正しいか
代価表当り単位の選択(標準=10m3)(全選択肢網羅)
・「「日当り施工量(m3)」当り代価表」と表示されているが、外部設計と正しいか
労務費の適用(全選択肢網羅)
・「普通作業員を適用」と表示されているが、外部設計と正しいか",・砕石の種類 の規格名計上が意図通りの場所に正しく計上されているか
TC-013,新規歩掛,材料費+施工費,高炉スラグCS~40,10m3当り代価表,普通作業員を適用,○,○,○,○,○,"資材計上区分(全選択肢網羅)
・「材料費+施工費」と表示されているが、外部設計と正しいか
砕石の種類(全選択肢網羅)
・「高炉スラグCS~40」と表示されているが、外部設計と正しいか
代価表当り単位の選択(標準=10m3)(全選択肢網羅)
・「10m3当り代価表」と表示されているが、外部設計と正しいか
労務費の適用(全選択肢網羅)
・「普通作業員を適用」と表示されているが、外部設計と正しいか",・砕石の種類 の規格名計上が意図通りの場所に正しく計上されているか
TC-014,新規歩掛,材料費+施工費,高炉スラグCS~40,「日当り施工量(m3)」当り代価表,普通作業員を適用,○,○,○,○,○,"資材計上区分(全選択肢網羅)
・「材料費+施工費」と表示されているが、外部設計と正しいか
砕石の種類(全選択肢網羅)
・「高炉スラグCS~40」と表示されているが、外部設計と正しいか
代価表当り単位の選択(標準=10m3)(全選択肢網羅)
・「「日当り施工量(m3)」当り代価表」と表示されているが、外部設計と正しいか
労務費の適用(全選択肢網羅)
・「普通作業員を適用」と表示されているが、外部設計と正しいか",・砕石の種類 の規格名計上が意図通りの場所に正しく計上されているか
TC-015,新規歩掛,材料費+施工費,高炉スラグMS-25,10m3当り代価表,普通作業員を適用,○,○,○,○,○,"資材計上区分(全選択肢網羅)
・「材料費+施工費」と表示されているが、外部設計と正しいか
砕石の種類(全選択肢網羅)
・「高炉スラグMS-25」と表示されているが、外部設計と正しいか
代価表当り単位の選択(標準=10m3)(全選択肢網羅)
・「10m3当り代価表」と表示されているが、外部設計と正しいか
労務費の適用(全選択肢網羅)
・「普通作業員を適用」と表示されているが、外部設計と正しいか",・砕石の種類 の規格名計上が意図通りの場所に正しく計上されているか
TC-016,新規歩掛,材料費+施工費,高炉スラグMS-25,「日当り施工量(m3)」当り代価表,普通作業員を適用,○,○,○,○,○,"資材計上区分(全選択肢網羅)
・「材料費+施工費」と表示されているが、外部設計と正しいか
砕石の種類(全選択肢網羅)
・「高炉スラグMS-25」と表示されているが、外部設計と正しいか
代価表当り単位の選択(標準=10m3)(全選択肢網羅)
・「「日当り施工量(m3)」当り代価表」と表示されているが、外部設計と正しいか
労務費の適用(全選択肢網羅)
・「普通作業員を適用」と表示されているが、外部設計と正しいか",・砕石の種類 の規格名計上が意図通りの場所に正しく計上されているか
TC-017,新規歩掛,材料費+施工費,高炉スラグHMS-25,10m3当り代価表,普通作業員を適用,○,○,○,○,○,"資材計上区分(全選択肢網羅)
・「材料費+施工費」と表示されているが、外部設計と正しいか
砕石の種類(全選択肢網羅)
・「高炉スラグHMS-25」と表示されているが、外部設計と正しいか
代価表当り単位の選択(標準=10m3)(全選択肢網羅)
・「10m3当り代価表」と表示されているが、外部設計と正しいか
労務費の適用(全選択肢網羅)
・「普通作業員を適用」と表示されているが、外部設計と正しいか",・砕石の種類 の規格名計上が意図通りの場所に正しく計上されているか
TC-018,新規歩掛,材料費+施工費,高炉スラグHMS-25,「日当り施工量(m3)」当り代価表,普通作業員を適用,○,○,○,○,○,"資材計上区分(全選択肢網羅)
・「材料費+施工費」と表示されているが、外部設計と正しいか
砕石の種類(全選択肢網羅)
・「高炉スラグHMS-25」と表示されているが、外部設計と正しいか
代価表当り単位の選択(標準=10m3)(全選択肢網羅)
・「「日当り施工量(m3)」当り代価表」と表示されているが、外部設計と正しいか
労務費の適用(全選択肢網羅)
・「普通作業員を適用」と表示されているが、外部設計と正しいか",・砕石の種類 の規格名計上が意図通りの場所に正しく計上されているか
TC-019,新規歩掛,材料費+施工費,砕石(各種),10m3当り代価表,普通作業員を適用,○,○,○,○,○,"資材計上区分(全選択肢網羅)
・「材料費+施工費」と表示されているが、外部設計と正しいか
砕石の種類(全選択肢網羅)
・「砕石(各種)」と表示されているが、外部設計と正しいか
代価表当り単位の選択(標準=10m3)(全選択肢網羅)
・「10m3当り代価表」と表示されているが、外部設計と正しいか
労務費の適用(全選択肢網羅)
・「普通作業員を適用」と表示されているが、外部設計と正しいか",・砕石の種類 の規格名計上が意図通りの場所に正しく計上されているか
