テストID,テスト区分,変更概要,入力条件,期待確認内容,確認方法
TC-001,差分,代価表「諸雑費」備考変更,（任意の入力値で確認）,代価表「諸雑費」の備考が「つき固め機械等の損料・燃料」になっていること（目視確認）,目視確認（行数・備考）
TC-002,差分,計算式変更（3件）: 計算表変数「S4」変更、計算表変数「D」変更、計算表変数「FG~01」変更,（任意の入力値で確認）,"・「S4」を含む計算結果が正しいこと
・「D」を含む計算結果が正しいこと
・「FG~01」を含む計算結果が正しいこと
変更内容: 計算式: AT*1.2→AT*1.3 / 固定値: 38.0→40.0 / 固定値→計算式: 21.0→",計算値確認
TC-003,差分,質問設定変更（1件）: 質問設定「バックホウ運転費 送り変数:FG1」変更,（任意の入力値で確認）,・「バックホウ運転費 送り変数:FG1」の設定変更が計算結果に正しく反映されること,計算値確認
TC-004,差分,選択肢変更（1件）: (超低・後方バックホウ)排ガス機械の選択,(超低・後方バックホウ)排ガス機械の選択: 66（追加された選択肢を確認）,【追加】選択肢「66」追加（質問:「(超低・後方バックホウ)排ガス機械の選択」）,目視確認（選択肢表示）
TC-005,差分,選択肢変更（4件）: A=0,A=0: 0（追加された選択肢を確認）,【追加】選択肢「」追加（質問:「A=0」）、選択肢「」追加（質問:「A=0」）、選択肢「」追加（質問:「A=0」）、選択肢「0」追加（質問:「A=0」）,目視確認（選択肢表示）
TC-006,差分,選択肢変更（8件）: NFG1=2,NFG1=2: 2 / 2（追加された選択肢を確認）,【追加】選択肢「」追加（質問:「NFG1=2」）、選択肢「」追加（質問:「NFG1=2」）、選択肢「」追加（質問:「NFG1=2」）、選択肢「2」追加（質問:「NFG1=2」）、選択肢「」追加（質問:「NFG1=2」）、選択肢「」追加（質問:「NFG1=2」）、選択肢「」追加（質問:「NFG1=2」）、選択肢「2」追加（質問:「NFG1=2」）,目視確認（選択肢表示）
TC-007,差分,選択肢変更（4件）: 0=代価表1枚目6行目,0=代価表1枚目6行目: 0（追加された選択肢を確認）,【追加】選択肢「」追加（質問:「0=代価表1枚目6行目」）、選択肢「」追加（質問:「0=代価表1枚目6行目」）、選択肢「」追加（質問:「0=代価表1枚目6行目」）、選択肢「0」追加（質問:「0=代価表1枚目6行目」）,目視確認（選択肢表示）
TC-008,差分,選択肢変更（4件）: Nex=0,Nex=0: 0（追加された選択肢を確認）,【追加】選択肢「」追加（質問:「Nex=0」）、選択肢「」追加（質問:「Nex=0」）、選択肢「」追加（質問:「Nex=0」）、選択肢「0」追加（質問:「Nex=0」）,目視確認（選択肢表示）
TC-009,差分,選択肢変更（4件）: AT=当り数量,AT=当り数量: （表示された選択肢から回答）,【削除】選択肢「」削除（質問:「AT=当り数量」）、選択肢「」削除（質問:「AT=当り数量」）、選択肢「」削除（質問:「AT=当り数量」）、選択肢「1」削除（質問:「AT=当り数量」）,目視確認（選択肢表示）
TC-010,差分,選択肢変更（4件）: 終点,終点: （表示された選択肢から回答）,【削除】選択肢「」削除（質問:「終点」）、選択肢「」削除（質問:「終点」）、選択肢「」削除（質問:「終点」）、選択肢「1」削除（質問:「終点」）,目視確認（選択肢表示）
TC-011,差分,選択肢変更（4件）: 砕石,砕石: （表示された選択肢から回答）,【削除】選択肢「」削除（質問:「砕石」）、選択肢「」削除（質問:「砕石」）、選択肢「」削除（質問:「砕石」）、選択肢「0.7」削除（質問:「砕石」）,目視確認（選択肢表示）
TC-012,差分,選択肢変更（4件）: 砂利,砂利: （表示された選択肢から回答）,【削除】選択肢「」削除（質問:「砂利」）、選択肢「」削除（質問:「砂利」）、選択肢「」削除（質問:「砂利」）、選択肢「0」削除（質問:「砂利」）,目視確認（選択肢表示）
